iterations	timeStamps	Strategy	Node Destroy Operator	Node Repair Operator	Path Destroy Operator	Path Repair Operator	New Cost	Current Cost	Best Cost	Cumulative Known Solutions
1	0.069	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343308	343308	343270	1
2	0.13	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343278	343278	343270	2
3	0.197	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343304	343304	343270	3
4	0.264	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343273	343273	343270	4
5	0.334	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343308	343308	343270	4
6	0.404	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343308	343308	343270	4
7	0.468	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343278	343278	343270	4
8	0.531	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343304	343304	343270	4
9	0.593	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343273	343273	343270	4
10	0.662	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343308	343308	343270	4
11	0.736	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343308	343308	343270	4
12	0.803	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343278	343278	343270	4
13	0.871	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343304	343304	343270	4
14	0.933	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343273	343273	343270	4
15	0.997	pathfirst	Node Random Removal	Node Random Insert	Path Average-Length Removal	Path Random Insert	343308	343273	343270	4
16	1.025	pathfirst	nodeNullDestroy	nodeNullRepair	Path Average-Length Removal	Path Random Insert	343301	343270	343270	5
17	1.122	nodefirst	Node Random Removal	Node Random Insert	Path Cardinality Removal	Path Random Insert	343334	343270	343270	6
18	1.22	nodefirst	Node Random Removal	Node Random Insert	Path Cardinality Removal	Path Random Insert	343334	343270	343270	6
19	1.315	nodefirst	Node Random Removal	Node Random Insert	Path Cardinality Removal	Path Random Insert	343334	343270	343270	6
20	1.418	nodefirst	Node Random Removal	Node Random Insert	Path Cardinality Removal	Path Random Insert	343334	343270	343270	6
21	1.519	nodefirst	Node Random Removal	Node Random Insert	Path Node-Frequency Removal	Path Random Insert	343339	343270	343270	7
22	1.615	nodefirst	Node Random Removal	Node Random Insert	Path Node-Frequency Removal	Path Random Insert	343339	343270	343270	7
23	1.711	nodefirst	Node Random Removal	Node Random Insert	Path Node-Frequency Removal	Path Random Insert	343339	343270	343270	7
24	1.809	nodefirst	Node Random Removal	Node Random Insert	Path Node-Frequency Removal	Path Random Insert	343339	343270	343270	7
25	1.902	nodefirst	Node Random Removal	Node Random Insert	Path Node-Frequency Removal	Path Random Insert	343339	343270	343270	7
26	2.002	nodefirst	Node Random Removal	Node Random Insert	Path Node-Frequency Removal	Path Random Insert	343339	343339	343270	7
27	2.026	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343346	343346	343270	8
28	2.054	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343331	343331	343270	9
29	2.076	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343337	343337	343270	10
30	2.102	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343352	343352	343270	11
31	2.122	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343277	343277	343270	12
32	2.145	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343282	343282	343270	13
33	2.17	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343280	343280	343270	14
34	2.194	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343287	343287	343270	15
35	2.217	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343289	343289	343270	16
36	2.237	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343277	343277	343270	17
37	2.26	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343282	343282	343270	17
38	2.286	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343291	343291	343270	18
39	2.312	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343287	343287	343270	18
40	2.335	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343278	343278	343270	19
41	2.355	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343277	343277	343270	19
42	2.376	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343282	343282	343270	19
43	2.402	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343280	343280	343270	19
44	2.427	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343287	343287	343270	19
45	2.452	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343289	343289	343270	19
46	2.47	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Node-Frequency Insert	343277	343277	343270	19
