time stamp	Weights of nodefirst	Calls of nodefirst	Weights of pathfirst	Calls of pathfirst	Weights of Node Random Removal	Calls of Node Random Removal	Weights of Node Shaw Removal	Calls of Node Shaw Removal	Weights of Node Worst Removal	Calls of Node Worst Removal	Weights of nodeNullDestroy	Calls of nodeNullDestroy	Weights of Node Greedy Insert	Calls of Node Greedy Insert	Weights of Node Random Insert	Calls of Node Random Insert	Weights of Node Regret-2 Insert	Calls of Node Regret-2 Insert	Weights of Path Average-Length-Difference Removal	Calls of Path Average-Length-Difference Removal	Weights of Path Average-Length Removal	Calls of Path Average-Length Removal	Weights of Path Cardinality Removal	Calls of Path Cardinality Removal	Weights of Path Node-Frequency Removal	Calls of Path Node-Frequency Removal	Weights of Path Random Removal	Calls of Path Random Removal	Weights of pathNullDestroy	Calls of pathNullDestroy	Weights of Path K-max Length Insert	Calls of Path K-max Length Insert	Weights of Path Node-Frequency Insert	Calls of Path Node-Frequency Insert	Weights of Path Random Insert	Calls of Path Random Insert	Weights of nodeNoise	Calls of nodeNoise	Weights of pathNoise	Calls of pathNoise	
1.419	1	1	1	0	1	1	1	0	1	0	2.4	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	4	0	1	0	1	1	1	0	0.5	0	0.5	0	
3.97	2.4	1	1	0	1	0	1	0	2.4	1	1.92	0	1	0	1	0	2.4	1	1	0	1	0	1	0	1	0	1	0	4.8	1	1	0	1	0	1	0	0.666667	1	0.333333	0	
6.141	1.92	0	1.2	1	1	0	1.2	1	1.92	0	1.536	0	1	0	1	0	2.32	1	1.2	1	1	0	1	0	1	0	1	0	3.84	0	1	0	1	0	1.2	1	0.666667	1	0.333333	0	
7.896	1.536	0	1	1	1	0	1	0	1.536	1	1.2288	0	1	0	1	1	1.856	0	1	0	1	1	1	0	1	0	1	0	3.072	0	1	0	1	0	1	1	0.5	0	0.5	0	
10.833	1.2288	1	1	0	1	1	1	0	1.2288	0	1	0	1	0	1	0	1.4848	1	1	0	1	0	1	0	1	1	1	0	2.4576	0	1	1	1	0	1	0	0.5	0	0.5	0	
14.059	1	0	1.2	1	1	0	1.2	1	1	0	1	0	1	0	1	0	1.58784	1	1	0	1	0	1	0	1	0	1.2	1	1.96608	0	1	0	1.2	1	1	0	0.666667	1	0.333333	0	
15.628	2.2	1	1	0	1	0	2.36	1	1	0	1	0	1	0	1	0	2.67027	1	1	0	2.2	1	1	0	1	0	1	0	1.57286	0	1	0	2.36	1	1	0	0.666667	1	0.333333	0	
17.748	2.16	1	1	0	1	0	1.888	0	1.2	1	1	0	1	0	1	0	2.53622	1	1	0	1.76	0	1.2	1	1	0	1	0	1.25829	0	1	0	1.888	0	1.2	1	0.666667	1	0.333333	0	
20.232	2.128	1	1	0	1	0	1.9104	1	1	0	1	0	1.2	1	1	0	2.02897	0	1	0	1.408	0	1	0	1.2	1	1	0	1.00663	0	1.2	1	1.5104	0	1	0	0.666667	1	0.666667	1	
22.477	2.1024	1	1	0	1	0	1.52832	0	1.2	1	1	0	1	0	1	0	2.02318	1	1	0	1.1264	0	1	0	1	0	1	0	1.20531	1	1	0	1.20832	0	1	0	0.666667	1	0.333333	0	
24.032	1.68192	1	1	0	1	0	1.22266	1	1	0	1	0	1	0	1	1	1.61854	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0.5	0	0.5	0	
25.19	1.34554	0	1.2	1	1	0	1	0	1	0	1.2	1	1	0	1	0	1.29483	0	1.2	1	1	0	1	0	1	0	1	0	1	0	1	0	1.2	1	1	0	0.666667	1	0.666667	1	
26.904	1.07643	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1.03587	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	0.5	0	0.5	0	
29.607	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	0.5	0	0.5	0	
32.712	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0.5	0	0.5	0	
