time stamp	Weights of nodefirst	Calls of nodefirst	Weights of pathfirst	Calls of pathfirst	Weights of Node Random Removal	Calls of Node Random Removal	Weights of Node Shaw Removal	Calls of Node Shaw Removal	Weights of Node Worst Removal	Calls of Node Worst Removal	Weights of nodeNullDestroy	Calls of nodeNullDestroy	Weights of Node Greedy Insert	Calls of Node Greedy Insert	Weights of Node Random Insert	Calls of Node Random Insert	Weights of Node Regret-2 Insert	Calls of Node Regret-2 Insert	Weights of Path Average-Length-Difference Removal	Calls of Path Average-Length-Difference Removal	Weights of Path Average-Length Removal	Calls of Path Average-Length Removal	Weights of Path Cardinality Removal	Calls of Path Cardinality Removal	Weights of Path Node-Frequency Removal	Calls of Path Node-Frequency Removal	Weights of Path Random Removal	Calls of Path Random Removal	Weights of pathNullDestroy	Calls of pathNullDestroy	Weights of Path K-max Length Insert	Calls of Path K-max Length Insert	Weights of Path Node-Frequency Insert	Calls of Path Node-Frequency Insert	Weights of Path Random Insert	Calls of Path Random Insert	
0.496	1	1	1	0	1	0	1	1	1	0	2.4	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	4	0	1	1	1	0	1	0	
1.788	1	0	1	1	1	0	1	0	1	1	1.92	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	3.2	0	1	0	1	0	1	1	
4.439	1	1	1	0	1	1	1	0	1	0	1.536	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	2.56	0	1	0	1	0	1	1	
4.994	1	0	1	1	1	0	1	1	1	0	1.2288	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	2.048	0	1	1	1	0	1	0	
8.724	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1.6384	1	1	0	1	0	1	0	
13.213	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1.31072	1	1	0	1	0	1	0	
15.747	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1.04858	0	1	0	1	1	1	0	
16.257	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	
16.938	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	
17.296	1	0	1.2	1	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1	0	1	0	1	0	1.2	1	1	0	1	0	1.2	1	1	0	1	0	
17.553	1	0	1.36	1	1	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1	0	1	0	1	0	1.36	1	1	0	1	0	1.36	1	1	0	1	0	
17.817	1	0	1.488	1	1	0	1	0	1	0	1.488	1	1	0	1	0	1	0	1	0	1	0	1	0	1.488	1	1	0	1	0	1.488	1	1	0	1	0	
18.17	1	0	2.5904	1	1	0	1	0	1	0	2.5904	1	1	0	1	0	1	0	2.2	1	1	0	1	0	1.1904	0	1	0	1	0	2.5904	1	1	0	1	0	
22.956	1	0	2.07232	1	1	0	1	0	1	1	2.07232	0	1	0	1	0	1	1	1.76	1	1	0	1	0	1	0	1	0	1	0	2.07232	1	1	0	1	0	
23.487	1.2	1	1.65786	0	1	0	1.2	1	1	0	1.65786	0	1	0	1.2	1	1	0	1.408	0	1	0	1.2	1	1	0	1	0	1	0	1.65786	0	1.2	1	1	0	
23.979	1.36	1	1.32628	0	1	0	1.36	1	1	0	1.32628	0	1	0	1.36	1	1	0	1.1264	0	1	0	1	0	1	0	1	0	1.2	1	1.32628	0	1	0	1	0	
25.414	1.088	0	1.46103	1	1.2	1	1.088	0	1	0	1.06103	0	1	0	1.088	0	1.2	1	1.30112	1	1	0	1	0	1	0	1	0	1	0	1.46103	1	1	0	1	0	
27.447	1	0	2.76882	1	2.56	1	1	0	1	0	1	0	1	0	1	0	2.56	1	2.6409	1	1	0	1	0	1	0	1	0	1	0	2.76882	1	1	0	1	0	
29.906	1	0	2.61506	1	2.448	1	1	0	1	0	1	0	1	0	1	0	2.448	1	2.51272	1	1	0	1	0	1	0	1	0	1	0	2.61506	1	1	0	1	0	
